File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label,dilation,lamin_dist,lamin_dist_norm,centr_dist,centr_dist_norm,xnorm,ynorm,znorm
1,Cy5,1,61.472,356.235,39,5.22,6.491,2.76,2.026,1,5,2421.696,0.398,3663.498,0.602,-0.547,0.245,-0.178
1,Cy5,1,48.929,350.799,37.224,4.22,3.179,9.786,4.581,1,5,1160.827,0.185,5097.611,0.815,-0.699,0.263,-0.216
1,Cy5,1,157,398,43.815,3.52,3.716,6.838,4.334,2,5,2580.426,0.447,3195.458,0.553,0.612,0.111,-0.075
1,Cy5,1,146.11,402.638,45.204,3.421,3.462,7.462,4.508,2,5,2639.804,0.454,3174.278,0.546,0.531,0.234,-0.046
1,Cy5,1,149,394,45,3.312,2.663,3.228,4.498,2,5,3601.18,0.613,2274.071,0.387,0.512,0.116,-0.05
1,Cy5,1,50.395,353.601,40.055,3.216,3.216,13.901,4.309,1,5,1368.499,0.214,5028.363,0.786,-0.669,0.286,-0.155
1,Cy5,1,152.789,408.731,43.949,2.665,3.323,11.666,3.391,2,5,1661.664,0.288,4111.206,0.712,0.63,0.261,-0.072
1,Cy5,1,159.301,404.942,42.592,2.009,2.567,17.42,2.695,2,5,1729.435,0.301,4012.515,0.699,0.673,0.176,-0.101
1,Cy5,1,145.031,388.176,39.526,1.358,1.837,7.581,2.54,2,5,4501.287,0.797,1143.078,0.203,0.442,0.075,-0.167
1,Cy5,1,58.635,360.977,40.598,2.017,2.924,3.761,2.895,1,5,1729.378,0.288,4273.293,0.712,-0.549,0.318,-0.144
1,Cy5,1,57.261,351.026,38.958,1.072,3.031,2.346,1.97,1,5,2243.963,0.355,4082.47,0.645,-0.616,0.212,-0.179
1,Cy5,1,69.134,348.122,48.134,1.248,2.449,16.729,2.263,1,5,3806.715,0.575,2808.934,0.425,-0.517,0.103,0.017
1,Cy5,1,64.238,354.525,39.289,1.32,2.795,14.14,2.409,1,5,2833.049,0.463,3287.222,0.537,-0.529,0.208,-0.172
1,Cy5,1,153.73,392.547,45.396,2.697,3.289,3.574,4.1,2,5,3378.711,0.574,2508.172,0.426,0.551,0.069,-0.042
1,Cy5,1,149.419,401.358,43.554,6.22,5.157,5.845,3.559,2,5,2692.416,0.466,3079.278,0.534,0.557,0.198,-0.081
1,Cy5,1,157,394,44,1.904,7.61,3.796,3.531,2,5,2947.304,0.509,2848.666,0.491,0.59,0.065,-0.071
1,Cy5,2,499.723,694.813,40.005,6.869,3.18,34.242,7.008,2,5,4840.761,0.767,1474.237,0.233,0.367,-0.048,-0.148
1,Cy5,2,503.203,703.017,38.157,2.943,2.363,44.508,3.856,2,5,4080.246,0.759,1293.475,0.241,0.339,-0.014,-0.187
1,Cy5,2,565.61,741.889,41.852,2.576,3.183,4.948,3.372,1,5,1761.583,0.275,4640.45,0.725,0.241,0.454,-0.109
1,Cy5,2,487.73,696.965,37.526,1.916,3.148,13.731,2.64,2,5,3991.302,0.586,2824.339,0.414,0.349,-0.125,-0.201
1,Cy5,2,574.334,733.383,40.853,1.615,2.317,17.995,2.246,1,5,2262.268,0.327,4663.651,0.673,0.281,0.5,-0.13
1,Cy5,2,555,728,42,1.523,2.489,2.776,2.356,1,5,3640,0.509,3514.612,0.491,0.286,0.364,-0.106
1,Cy5,2,480,687,35,1.464,2.783,2.101,2.212,2,5,4086.979,0.526,3685.485,0.474,0.381,-0.19,-0.254
1,Cy5,2,485,689,35,1.149,3.013,12.457,2.314,2,5,4487.104,0.591,3100.21,0.409,0.377,-0.154,-0.254
1,Cy5,2,481.456,690.607,37.396,1.132,2.633,11.606,2.317,2,5,4006.327,0.523,3659.369,0.477,0.368,-0.175,-0.203
1,Cy5,2,558,732,39,1.097,2.629,3.416,2.363,1,5,3145.537,0.474,3488.266,0.526,0.273,0.39,-0.169
