File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,Label,dilation,lamin_dist,lamin_dist_norm,centr_dist,centr_dist_norm,compartment,xnorm,ynorm,znorm
1,Cy5,1,404.029,856.951,32.16,10.444,4.364,3.289,2,5,762.397,0.112,6016.977,0.888,1,-0.155,-0.857,-0.185
1,Cy5,1,417.876,868.193,34.081,9.444,3.319,4.931,2,5,1123.06,0.176,5270.025,0.824,1,-0.337,-0.697,-0.137
1,Cy5,1,512.39,807.123,37.719,8.444,2.964,21.043,1,5,714.435,0.115,5519.557,0.885,1,0.256,0.723,-0.046
1,Cy5,1,511.821,814.498,37.67,7.444,2.683,15.022,1,5,1166.231,0.188,5052.581,0.812,1,0.159,0.698,-0.047
1,Cy5,1,504.434,812.235,36.168,4.67,3.19,19.319,1,5,1879.804,0.302,4341.849,0.698,1,0.207,0.603,-0.085
1,Cy5,1,409.72,858.384,31.728,3.721,4.668,31.728,2,5,1410.775,0.206,5423.777,0.794,1,-0.188,-0.784,-0.196
1,Cy5,1,422.845,863.185,31.767,2.888,2.663,16.969,2,5,1861.815,0.298,4376.545,0.702,1,-0.282,-0.618,-0.195
1,Cy5,1,418.349,860.064,36.723,2.257,2.679,11.543,2,5,2097.465,0.314,4580.712,0.686,1,-0.23,-0.671,-0.071
1,Cy5,1,507.751,824.068,34.369,1.994,3.147,6.075,1,5,1926.766,0.314,4204.031,0.686,1,0.042,0.62,-0.13
1,Cy5,1,507,823,36,1.89,3.779,9.851,1,5,1990.176,0.324,4153.902,0.676,1,0.057,0.613,-0.089
1,Cy5,1,496,818,36,1.284,3.202,6.676,1,5,3158.496,0.51,3030.33,0.49,1,0.15,0.476,-0.089
1,Cy5,1,412.726,840.998,31.986,1.739,2.868,23.045,2,5,1784.327,0.288,4420.393,0.712,1,0.037,-0.702,-0.19
1,Cy5,2,128.505,583.53,35.049,7.342,5.521,2.546,1,5,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
